,,,Before Mutation,,,,,After Mutation
Mutant Filename,Mutation Operator,Start Line#,Start Col#,End Line#,End Col#,Target Token,Start Line#,Start Col#,End Line#,End Col#,Mutated Token,Extra Info
BinaryGlobal.MUT170.c,VLSR,19,24,19,27,mid,19,24,19,27,low,,binary
BinaryGlobal.MUT171.c,VLSR,19,24,19,27,mid,19,24,19,28,high,,binary
BinaryGlobal.MUT172.c,VTWD,19,24,19,27,mid,19,24,19,29,(mid+1),plus,binary
BinaryGlobal.MUT173.c,VTWD,19,24,19,27,mid,19,24,19,29,(mid-1),minus,binary
BinaryGlobal.MUT174.c,VGSR,21,13,21,17,high,21,13,21,18,count,,binary
BinaryGlobal.MUT175.c,VLSR,21,13,21,17,high,21,13,21,16,key,,binary
BinaryGlobal.MUT176.c,VLSR,21,13,21,17,high,21,13,21,16,low,,binary
BinaryGlobal.MUT177.c,VLSR,21,13,21,17,high,21,13,21,16,mid,,binary
BinaryGlobal.MUT178.c,OEAA,21,18,21,19,=,21,18,21,20,%=,=%=,binary
BinaryGlobal.MUT179.c,OEAA,21,18,21,19,=,21,18,21,20,*=,=*=,binary
BinaryGlobal.MUT180.c,OEAA,21,18,21,19,=,21,18,21,20,+=,=+=,binary
BinaryGlobal.MUT181.c,OEAA,21,18,21,19,=,21,18,21,20,-=,=-=,binary
BinaryGlobal.MUT182.c,OEAA,21,18,21,19,=,21,18,21,20,/=,=/=,binary
BinaryGlobal.MUT183.c,CGSR,21,20,21,23,mid,21,20,21,21,5,,binary
BinaryGlobal.MUT184.c,CLSR,21,20,21,23,mid,21,20,21,21,0,,binary
BinaryGlobal.MUT185.c,CLSR,21,20,21,23,mid,21,20,21,21,1,,binary
BinaryGlobal.MUT186.c,CLSR,21,20,21,23,mid,21,20,21,21,2,,binary
BinaryGlobal.MUT187.c,CRCR,21,20,21,23,mid,21,20,21,24,(-1),-1,binary
BinaryGlobal.MUT188.c,CRCR,21,20,21,23,mid,21,20,21,23,(0),0,binary
BinaryGlobal.MUT189.c,CRCR,21,20,21,23,mid,21,20,21,23,(1),1,binary
BinaryGlobal.MUT190.c,CRCR,21,20,21,23,mid,21,20,21,28,(2147483647),max,binary
BinaryGlobal.MUT191.c,CRCR,21,20,21,23,mid,21,20,21,28,(-2147483648),min,binary
BinaryGlobal.MUT192.c,VGSR,21,20,21,23,mid,21,20,21,25,count,,binary
BinaryGlobal.MUT193.c,VLSR,21,20,21,23,mid,21,20,21,23,key,,binary
BinaryGlobal.MUT194.c,VLSR,21,20,21,23,mid,21,20,21,23,low,,binary
BinaryGlobal.MUT195.c,VLSR,21,20,21,23,mid,21,20,21,24,high,,binary
BinaryGlobal.MUT196.c,VTWD,21,20,21,23,mid,21,20,21,27,(mid+1),plus,binary
BinaryGlobal.MUT197.c,VTWD,21,20,21,23,mid,21,20,21,27,(mid-1),minus,binary
BinaryGlobal.MUT198.c,OAAN,21,24,21,25,-,21,24,21,25,%,-%,binary
BinaryGlobal.MUT199.c,OAAN,21,24,21,25,-,21,24,21,25,*,-*,binary
BinaryGlobal.MUT200.c,OAAN,21,24,21,25,-,21,24,21,25,+,-+,binary
